Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,-400,0,108,3.5,0,[],[],283.9,-248.5,-8.5,5694,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,-100,0,147,3.5,1,[],[],350.7,-56,-8.5,6025,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,-400,0,91,3.5,0,[],[],317.3,-248.5,5.5,7082,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,100,0,143,3.5,1,[],[],267.2,56,2,6250,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,112,3.5,1,[],[],350.7,-259,12.5,6110,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,-200,0,117,3.5,1,[],[],417.5,-161,19.5,16261,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,100,0,123,3.5,1,[],[],267.2,56,9,8815,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,-100,0,60,3.5,1,[],[],317.3,-56,-8.5,5258,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,-200,0,107,3.5,1,[],[],217.1,-157.5,12.5,5855,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,63,3.5,0,[],[],517.7,-175,16,13918,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,-100,0,102,3.5,1,[],[],417.5,-59.5,-15.5,6163,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,200,0,134,3.5,1,[],[],283.9,157.5,12.5,6084,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,200,0,86,3.5,1,[],[],467.6,157.5,-8.5,6226,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,400,0,130,3.5,0,[],[],617.9,192.5,9,6595,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,-200,0,69,3.5,1,[],[],501,-157.5,-1.5,5649,1,0,1,0,1,0,48,0,48,0,1,47
